date,pm25,o3,no2,so2,co,aqi
2020-10-16, 58,0, 4, 3,0,0
2020-10-17, 59,0, 4, 3,0,0
2020-10-18, 72,0, 5, 3,0,0
2020-10-19, 80,0, 6, 4,0,0
2020-10-20, 90,0, 6, 4,0,0
2020-10-21, 84,0, 9, 4,0,0
2020-10-22, 118,0, 12, 4,0,0
2020-10-23, 136,0, 12, 5,0,0
2020-10-24, 157,0, 8, 4,0,0
2020-10-25, 149,0, 7, 3,0,0
2020-10-26, 129,0, 10, 3,0,0
2020-10-27, 126,0, 6, 3,0,0
2020-10-28, 126,0, 5, 3,0,0
2020-10-29, 95,0, 5,0,0,0
2020-10-30, 61,0, 6, 3,0,0
2020-10-31, 82,0, 10, 4,0,0
2020-11-01, 155,0, 7, 3,0,0
2020-11-02, 118,0, 6, 4,0,0
2020-11-03, 82, 5, 9, 2,0,0
2020-11-04, 135, 5, 15, 1,0,0
2020-11-05, 169, 4, 13, 1,0,0
2020-11-06, 178, 7, 8, 1,0,0
2020-11-07, 116, 9, 8, 1,0,0
2020-11-08, 125, 11, 10, 2,0,0
2020-11-09, 130, 12, 11, 3,0,0
2020-11-10, 139, 10, 13, 3,0,0
2020-11-11, 147, 15, 13, 2,0,0
2020-11-12, 156, 13, 13, 2,0,0
2020-11-13, 149, 12, 10, 2,0,0
2020-11-14, 145, 8, 6,0,0,0
2020-11-15, 100, 1, 5,0,0,0
2020-11-16, 95, 2, 7,0,0,0
2020-11-17, 92, 2, 5,0,0,0
2020-11-18, 74, 1, 6,0,0,0
2020-11-19, 83, 1, 5,0,0,0
2020-11-20, 89, 1, 5,0,0,0
2020-11-21, 76, 1, 6,0,0,0
2020-11-22, 84, 1, 8,0,0,0
2020-11-23, 90, 1, 10,0,0,0
2020-11-24, 116, 3, 12, 1,0,0
2020-11-25, 121, 1, 13,0,0,0
2020-11-26, 107, 7, 11, 1,0,0
2020-11-27, 139, 4, 6, 1,0,0
2020-11-28, 111, 7, 6, 1,0,0
2020-11-29, 94, 8, 8, 1,0,0
2020-11-30, 114, 5, 12, 2,0,0
2020-12-01, 152, 4, 12, 2,0,0
2020-12-02, 163, 5, 8, 1,0,0
2020-12-03, 137, 5, 8, 1,0,0
2020-12-04, 95, 6, 8, 1,0,0
2020-12-05, 117, 7, 11, 2,0,0
2020-12-06, 155, 10, 11, 2,0,0
2020-12-07, 168, 6, 11, 1,0,0
2020-12-08, 154, 5, 15, 2,0,0
2020-12-09, 182, 9, 17, 2,0,0
2020-12-10, 183, 6, 14, 2,0,0
2020-12-11, 175, 5, 12, 2,0,0
2020-12-12, 149, 3, 9,0,0,0
2020-12-13, 135, 2, 7,0,0,0
2020-12-14, 110, 1, 4,0,0,0
2020-12-15, 67, 1, 3,0,0,0
2020-12-16, 80, 2, 3,0,0,0
2020-12-17, 80, 2, 3,0,0,0
2020-12-18, 90, 5, 5, 1,0,0
2020-12-19, 109, 7, 5, 1,0,0
2020-12-20, 113, 10, 8, 2,0,0
2020-12-21, 144, 9, 12, 2,0,0
2020-12-22, 163, 4, 13, 4,0,0
2020-12-23, 165, 6, 10, 1,0,0
2020-12-24, 148, 5, 14, 4,0,0
2020-12-25, 176, 1, 12, 3,0,0
2020-12-26, 173, 1, 7, 1,0,0
2020-12-27, 171, 2, 6, 1,0,0
2020-12-28, 125, 2, 7, 1,0,0
2020-12-29, 97, 5, 7, 1,0,0
2020-12-30, 101, 6, 10, 2,0,0
2020-12-31, 128, 11, 10, 3,0,0
2021-01-01, 159, 11, 11, 3,0,0
2021-01-02, 192, 7, 10, 3,0,0
2021-01-03, 189, 8, 11, 3,0,0
2020-07-01, 92, 6, 7, 1,0,0
2020-07-02, 91, 7, 6,0,0,0
2020-07-03, 79, 6, 6,0,0,0
2020-07-04, 75, 6, 4,0,0,0
2020-07-05, 77, 7, 4, 1,0,0
2020-07-06, 73, 9, 4,0,0,0
2020-07-07, 80, 7, 4, 1,0,0
2020-07-08, 82, 7, 4, 1,0,0
2020-07-09, 76, 7, 4, 1,0,0
2020-07-10, 74, 7, 5, 1,0,0
2020-07-11, 79, 8, 5, 1,0,0
2020-07-12, 94, 9, 6, 1,0,0
2020-07-13, 86, 12, 7, 1,0,0
2020-07-14, 96, 9, 5, 1,0,0
2020-07-15, 86, 8, 3, 1,0,0
2020-07-16, 79, 8, 3, 1,0,0
2020-07-17, 77, 9, 3, 1,0,0
2020-07-18, 82, 8, 3, 1,0,0
2020-07-19, 86, 8, 4, 1,0,0
2020-07-20, 81, 5, 2, 2,0,0
2020-07-21, 74, 5, 2, 1,0,0
2020-07-22, 67, 5,0, 1,0,0
2020-07-23, 74, 5,0, 1,0,0
2020-07-24, 80, 6,0, 1,0,0
2020-07-25, 78, 5,0, 1,0,0
2020-07-26, 79, 5,0, 2,0,0
2020-07-27, 134, 11,0, 1,0,0
2020-07-28, 160, 6,0, 1,0,0
2020-07-29, 117, 6, 5, 1,0,0
2020-07-30, 104, 6, 7, 2,0,0
2020-07-31, 106, 5, 4, 1,0,0
2020-08-01, 85, 5, 2, 1,0,0
2020-08-02, 51, 4, 4, 2,0,0
2020-08-03, 77, 4, 4, 1,0,0
2020-08-04, 68, 4, 4, 1,0,0
2020-08-05, 68, 4, 3, 1,0,0
2020-08-06, 60, 4, 2, 1,0,0
2020-08-07, 61, 5, 2, 1,0,0
2020-08-08, 67, 5, 3, 1,0,0
2020-08-09, 71, 6, 6, 1,0,0
2020-08-10, 73, 3, 8,0,0,0
2020-08-11, 51, 4, 5, 1,0,0
2020-08-12, 79, 4, 4, 1,0,0
2020-08-13, 57, 4, 3, 2,0,0
2020-08-14, 62, 2, 3, 2,0,0
2020-08-15, 75, 2, 4, 2,0,0
2020-08-16, 81, 2, 3, 2,0,0
2020-08-17, 65,0, 3, 2,0,0
2020-08-18, 60,0, 5, 2,0,0
2020-08-19, 77,0, 5, 2,0,0
2020-08-20, 108,0, 7, 1,0,0
2020-08-21, 68,0, 5,0,0,0
2020-08-22, 75,0, 4, 2,0,0
2020-08-23, 90,0, 5,0,0,0
2020-08-24, 80,0, 3, 2,0,0
2020-08-25, 71,0, 5, 2,0,0
2020-08-26, 95,0, 7,0,0,0
2020-08-27, 123,0, 6, 2,0,0
2020-08-28, 97,0, 6, 2,0,0
2020-08-29, 96,0, 7, 2,0,0
2020-08-30, 108,0, 6, 2,0,0
2020-08-31, 104,0, 8, 2,0,0
2020-09-01, 110,0, 6, 2,0,0
2020-09-02, 164,0, 9, 2,0,0
2020-09-03, 160,0, 7, 2,0,0
2020-09-04, 134,0, 5, 2,0,0
2020-09-05, 103,0, 5, 2,0,0
2020-09-06, 86,0, 5, 2,0,0
2020-09-07, 62,0, 8, 2,0,0
2020-09-08, 122,0, 6, 3,0,0
2020-09-09, 78,0, 4, 2,0,0
2020-09-10, 57,0, 6, 2,0,0
2020-09-11, 6,0, 4, 2,0,0
2020-09-12, 9,0, 3, 2,0,0
2020-09-13, 26,0, 4, 2,0,0
2020-09-14, 60,0, 3, 2,0,0
2020-09-15, 61,0, 4, 2,0,0
2020-09-16, 70,0, 6, 2,0,0
2020-09-17, 95,0, 2, 2,0,0
2020-09-18, 57,0, 3, 2,0,0
2020-09-19, 59,0, 3, 2,0,0
2020-09-20, 82,0, 4, 2,0,0
2020-09-21, 98,0, 3, 2,0,0
2020-09-22, 58,0, 3, 2,0,0
2020-09-23, 71,0, 4, 2,0,0
2020-09-24, 49,0, 5, 3,0,0
2020-09-25, 95,0, 4, 2,0,0
2020-09-26, 58,0, 2, 2,0,0
2020-09-27, 57,0, 6, 2,0,0
2020-09-28, 84,0, 7, 2,0,0
2020-09-29, 99,0, 5, 2,0,0
2020-09-30, 79,0, 5, 2,0,0
2020-04-01, 120, 2, 1, 2,0,0
2020-04-02, 128, 2, 2, 2,0,0
2020-04-03, 124, 2,0, 2,0,0
2020-04-04, 80, 4,0, 2,0,0
2020-04-05, 65, 4, 2, 3,0,0
2020-04-06, 87, 8, 3, 2,0,0
2020-04-07, 147, 7, 5, 2,0,0
2020-04-08, 160, 10, 4, 2,0,0
2020-04-09, 162, 9, 4, 2,0,0
2020-04-10, 141, 7, 2,0,0,0
2020-04-11, 130, 8, 2, 2,0,0
2020-04-12, 88, 8, 2, 2,0,0
2020-04-13, 104, 15, 2, 2,0,0
2020-04-14, 130, 12, 3, 3,0,0
2020-04-15, 149, 6, 2, 2,0,0
2020-04-16, 142, 5,0, 2,0,0
2020-04-17, 95, 6, 1, 2,0,0
2020-04-18, 106, 5,0, 2,0,0
2020-04-19, 118, 5, 1, 20,0,0
2020-04-20, 99, 5, 1, 10,0,0
2020-04-21, 117, 4, 2, 8,0,0
2020-04-22, 93, 7,0, 2,0,0
2020-04-23, 75, 6,0, 5,0,0
2020-04-24, 88, 8, 1, 3,0,0
2020-04-25, 103, 6, 1, 3,0,0
2020-04-26, 99, 11, 3, 4,0,0
2020-04-27, 107, 15, 4, 8,0,0
2020-04-28, 160, 16, 4, 5,0,0
2020-04-29, 155, 9, 2, 3,0,0
2020-04-30, 127, 4, 2, 2,0,0
